title,id,url,HITId,WorkerId0,WorkerId1,WorkerId2,labels0,labels1,labels2,labels_enriched0,labels_enriched1,labels_enriched2,labels_enriched_majority
Lama Gonpo Hat.jpg,5441685,https://upload.wikimedia.org/wikipedia/commons/0/08/Lama_Gonpo_Hat.jpg,34O39PNDK6TRRPXVDM122ISDRKPRBO,A20SL254675EOK,A29GJGXFU9BQQG,A2COPP4Y0UYN0B,"{'Belief', 'History', 'People'}",{'People'},"{'Belief', 'Events', 'People'}","{'Culture', 'Society', 'History', 'Belief', 'People'}","{'Society', 'People'}","{'Culture', 'Society', 'Belief', 'Events', 'People'}","{'People', 'Belief', 'Culture', 'Society'}"
NVMap-doton-PequopMtns.png,35014871,https://upload.wikimedia.org/wikipedia/commons/9/95/NVMap-doton-PequopMtns.png,34O39PNDK6TRRPXVDM122ISDRKPRBO,A20SL254675EOK,A29GJGXFU9BQQG,A2COPP4Y0UYN0B,"{'Geology', 'Places'}",{'Maps & Flags'},{'Maps & Flags'},"{'STEM', 'Geology', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}"
Margarites kophameli 001.jpg,28589508,https://upload.wikimedia.org/wikipedia/commons/9/96/Margarites_kophameli_001.jpg,34O39PNDK6TRRPXVDM122ISDRKPRBO,A20SL254675EOK,A29GJGXFU9BQQG,A2COPP4Y0UYN0B,"{'Geology', 'Fossils'}",{'None'},{'None'},"{'STEM', 'Geology', 'Fossils', 'Nature'}",set(),set(),set()
Potomac Boat Club LCCN2016840734.jpg,67426945,https://upload.wikimedia.org/wikipedia/commons/a/a0/Potomac_Boat_Club_LCCN2016840734.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'None', 'Events', 'Architecture'}",{'Places'},"{'History', 'Places'}","{'Society', 'Places', 'Events', 'Architecture'}",{'Places'},"{'History', 'Culture', 'Places'}",{'Places'}
Gray505.png,527416,https://upload.wikimedia.org/wikipedia/commons/3/3c/Gray505.png,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'Diagrams', 'Medicine & Health'}",{'Medicine & Health'},{'Diagrams'},"{'Diagrams', 'STEM', 'Medicine & Health'}","{'Medicine & Health', 'STEM'}","{'Diagrams', 'STEM'}","{'Diagrams', 'STEM', 'Medicine & Health'}"
The apron area of Diyarbakır Airport.jpg,51174554,https://upload.wikimedia.org/wikipedia/commons/a/ae/The_apron_area_of_Diyarbak%C4%B1r_Airport.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'Transportation', 'Places'}",{'Transportation'},"{'Transportation', 'Places'}","{'Transportation', 'Places', 'Society'}","{'Transportation', 'Society'}","{'Transportation', 'Places', 'Society'}","{'Transportation', 'Places', 'Society'}"
Cr3C2structure.jpg,9994853,https://upload.wikimedia.org/wikipedia/commons/9/94/Cr3C2structure.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,{'Diagrams'},{'Chemistry'},{'Diagrams'},"{'Diagrams', 'STEM'}","{'STEM', 'Chemistry'}","{'Diagrams', 'STEM'}","{'Diagrams', 'STEM'}"
Aki-Kameyama Station 20170503-2.jpg,58923049,https://upload.wikimedia.org/wikipedia/commons/9/99/Aki-Kameyama_Station_20170503-2.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'Technology & Engineering', 'Transportation', 'Places'}",{'Transportation'},{'Transportation'},"{'Technology & Engineering', 'Society', 'STEM', 'Places', 'Transportation'}","{'Transportation', 'Society'}","{'Transportation', 'Society'}","{'Transportation', 'Society'}"
Shah jahan mosque -Thatta 1 (asad aman).jpg,73243143,https://upload.wikimedia.org/wikipedia/commons/e/e7/Shah_jahan_mosque_-Thatta_1_%28asad_aman%29.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'Art', 'Belief', 'Monuments & Memorials', 'Architecture'}",{'Architecture'},"{'Belief', 'Architecture'}","{'Culture', 'Art', 'Places', 'Belief', 'Monuments & Memorials', 'Architecture'}","{'Architecture', 'Places'}","{'Belief', 'Culture', 'Architecture', 'Places'}","{'Belief', 'Culture', 'Architecture', 'Places'}"
Lam Tin cityscape.jpg,1686439,https://upload.wikimedia.org/wikipedia/commons/2/20/Lam_Tin_cityscape.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'Architecture', 'Places'}",{'Places'},{'Places'},"{'Architecture', 'Places'}",{'Places'},{'Places'},{'Places'}
Arthur MacManus.jpg,6272203,https://upload.wikimedia.org/wikipedia/commons/2/23/Arthur_MacManus.jpg,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,{'People'},{'People'},"{'History', 'People'}","{'Society', 'People'}","{'Society', 'People'}","{'History', 'Culture', 'Society', 'People'}","{'People', 'Society'}"
Paul Rosenthal (Colorado politician).JPG,57663192,https://upload.wikimedia.org/wikipedia/commons/d/d5/Paul_Rosenthal_%28Colorado_politician%29.JPG,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,"{'Politics', 'People'}",{'People'},{'People'},"{'Society', 'Politics', 'People'}","{'Society', 'People'}","{'Society', 'People'}","{'People', 'Society'}"
"""I can WIN"" button.JPG",20770640,https://upload.wikimedia.org/wikipedia/commons/1/16/%22I_can_WIN%22_button.JPG,35O6H0UNLS184LX9471GX56U779J5N,A1I7H6RDJS4EKN,A2R6KLBXVM5ANW,AKQAI78JTXXC9,{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'},{'Logos & Symbols'}
Monterrubio de la Serena.png,9919760,https://upload.wikimedia.org/wikipedia/commons/0/01/Monterrubio_de_la_Serena.png,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,{'Maps & Flags'},{'Maps & Flags'},"{'Maps & Flags', 'Politics'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Politics', 'Places', 'Society'}","{'Maps & Flags', 'Places'}"
Callianassa turnerana.png,11358821,https://upload.wikimedia.org/wikipedia/commons/0/02/Callianassa_turnerana.png,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,"{'Literature', 'Animals', 'Fossils'}",{'Animals'},{'Animals'},"{'Literature', 'Culture', 'Fossils', 'STEM', 'Animals', 'Nature'}","{'STEM', 'Animals', 'Nature'}","{'STEM', 'Animals', 'Nature'}","{'STEM', 'Animals', 'Nature'}"
2013 Liechtenstein general election - Results by constituency.svg,80043251,https://upload.wikimedia.org/wikipedia/commons/0/0b/2013_Liechtenstein_general_election_-_Results_by_constituency.svg,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,"{'Diagrams', 'Maps & Flags'}","{'Logos & Symbols', 'Maps & Flags', 'Politics'}","{'Diagrams', 'Maps & Flags', 'Politics'}","{'Diagrams', 'STEM', 'Maps & Flags', 'Places'}","{'Logos & Symbols', 'Politics', 'Society', 'Places', 'Maps & Flags'}","{'Diagrams', 'Politics', 'Society', 'STEM', 'Places', 'Maps & Flags'}","{'Diagrams', 'Politics', 'Society', 'STEM', 'Places', 'Maps & Flags'}"
Lembit opik.jpg,2346335,https://upload.wikimedia.org/wikipedia/commons/1/14/Lembit_opik.jpg,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,{'People'},{'People'},{'People'},"{'Society', 'People'}","{'Society', 'People'}","{'Society', 'People'}","{'People', 'Society'}"
TER à Mommenheim.JPG,7726324,https://upload.wikimedia.org/wikipedia/commons/1/17/TER_%C3%A0_Mommenheim.JPG,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,"{'Technology & Engineering', 'Transportation'}",{'Transportation'},{'Technology & Engineering'},"{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}","{'Transportation', 'Society'}","{'STEM', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}"
Mary Pickford-Hartsook.jpg,5237814,https://upload.wikimedia.org/wikipedia/commons/a/af/Mary_Pickford-Hartsook.jpg,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,"{'Art', 'History', 'Literature', 'People'}","{'History', 'Plants', 'People'}",{'People'},"{'Literature', 'Culture', 'Art', 'Society', 'History', 'People'}","{'Culture', 'Society', 'STEM', 'History', 'Nature', 'Plants', 'People'}","{'Society', 'People'}","{'People', 'History', 'Culture', 'Society'}"
TX27 109.gif,2721630,https://upload.wikimedia.org/wikipedia/commons/2/20/TX27_109.gif,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,"{'Diagrams', 'Maps & Flags'}","{'Maps & Flags', 'Politics'}","{'Diagrams', 'Maps & Flags', 'Politics'}","{'Diagrams', 'STEM', 'Maps & Flags', 'Places'}","{'Maps & Flags', 'Politics', 'Places', 'Society'}","{'Diagrams', 'Politics', 'Society', 'STEM', 'Places', 'Maps & Flags'}","{'Diagrams', 'Politics', 'Society', 'STEM', 'Places', 'Maps & Flags'}"
LA 3 Azad Kashmir Assembly map.png,81766676,https://upload.wikimedia.org/wikipedia/commons/a/a2/LA_3_Azad_Kashmir_Assembly_map.png,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,{'Maps & Flags'},{'Maps & Flags'},"{'Maps & Flags', 'Politics'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Politics', 'Places', 'Society'}","{'Maps & Flags', 'Places'}"
HyundaiPony1400GLS.jpg,5944459,https://upload.wikimedia.org/wikipedia/commons/d/da/HyundaiPony1400GLS.jpg,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,"{'Technology & Engineering', 'Transportation'}","{'Technology & Engineering', 'Transportation'}",{'Technology & Engineering'},"{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}","{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}","{'STEM', 'Technology & Engineering'}","{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}"
Starr 080716-9532 Cycas circinalis.jpg,6150843,https://upload.wikimedia.org/wikipedia/commons/2/2d/Starr_080716-9532_Cycas_circinalis.jpg,388CL5C1RJ8QF4548UE22HMCG55HL4,A3TU0NGBDKSGLI,AB8XECKH1JO8P,AXY0D2AMLKE2A,{'Plants'},{'Plants'},{'Plants'},"{'STEM', 'Plants', 'Nature'}","{'STEM', 'Plants', 'Nature'}","{'STEM', 'Plants', 'Nature'}","{'STEM', 'Plants', 'Nature'}"
BISHOP staffieri emeritus la spezia 2014.jpg,36414513,https://upload.wikimedia.org/wikipedia/commons/c/c8/BISHOP_staffieri_emeritus_la_spezia_2014.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Belief', 'People'}",{'People'},"{'Belief', 'People'}","{'Belief', 'Society', 'Culture', 'People'}","{'Society', 'People'}","{'Belief', 'Society', 'Culture', 'People'}","{'People', 'Belief', 'Culture', 'Society'}"
Ardeuil-et-Montfauxelles-FR-08-monument aux morts-03.JPG,27800272,https://upload.wikimedia.org/wikipedia/commons/c/c2/Ardeuil-et-Montfauxelles-FR-08-monument_aux_morts-03.JPG,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Belief', 'History', 'Monuments & Memorials'}",{'Monuments & Memorials'},"{'Monuments & Memorials', 'Architecture'}","{'Culture', 'History', 'Places', 'Belief', 'Monuments & Memorials'}","{'Monuments & Memorials', 'Places'}","{'Monuments & Memorials', 'Architecture', 'Places'}","{'Monuments & Memorials', 'Places'}"
Didcot NorthbourneCentre ESE.jpg,70687032,https://upload.wikimedia.org/wikipedia/commons/8/8f/Didcot_NorthbourneCentre_ESE.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Architecture', 'Places'}",{'Places'},"{'Architecture', 'Places'}","{'Architecture', 'Places'}",{'Places'},"{'Architecture', 'Places'}","{'Architecture', 'Places'}"
Heasandford House - geograph.org.uk - 639117.jpg,13175511,https://upload.wikimedia.org/wikipedia/commons/b/b9/Heasandford_House_-_geograph.org.uk_-_639117.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Places', 'Landscapes'}",{'Places'},{'Plants'},"{'Places', 'Landscapes'}",{'Places'},"{'STEM', 'Plants', 'Nature'}",{'Places'}
Bmw Concept X1.jpg,6886812,https://upload.wikimedia.org/wikipedia/commons/0/01/Bmw_Concept_X1.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Technology & Engineering', 'Transportation'}",{'Transportation'},"{'Technology & Engineering', 'Transportation'}","{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}","{'Transportation', 'Society'}","{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}","{'STEM', 'Technology & Engineering', 'Transportation', 'Society'}"
Ruins of Cyrene.jpg,7014487,https://upload.wikimedia.org/wikipedia/commons/d/d1/Ruins_of_Cyrene.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Places', 'Architecture', 'Landscapes'}",{'Landscapes'},"{'Geology', 'Architecture', 'Landscapes', 'Places'}","{'Architecture', 'Places', 'Landscapes'}","{'Places', 'Landscapes'}","{'Geology', 'Landscapes', 'STEM', 'Places', 'Architecture'}","{'Architecture', 'Places', 'Landscapes'}"
"Oil paints, one with wax (30791).jpg",54060663,https://upload.wikimedia.org/wikipedia/commons/4/40/Oil_paints%2C_one_with_wax_%2830791%29.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,{'Food'},{'Food'},{'Food'},"{'Food', 'Culture'}","{'Food', 'Culture'}","{'Food', 'Culture'}","{'Food', 'Culture'}"
John G. Cooper 1913 (cropped).jpg,66712497,https://upload.wikimedia.org/wikipedia/commons/4/40/John_G._Cooper_1913_%28cropped%29.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'History', 'People'}",{'People'},"{'History', 'People'}","{'History', 'Culture', 'Society', 'People'}","{'Society', 'People'}","{'History', 'Culture', 'Society', 'People'}","{'People', 'History', 'Culture', 'Society'}"
Kilvrough Manor.jpg,37547560,https://upload.wikimedia.org/wikipedia/commons/f/f1/Kilvrough_Manor.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'History', 'Architecture', 'Places'}",{'Architecture'},"{'Monuments & Memorials', 'Architecture', 'Places'}","{'History', 'Culture', 'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Monuments & Memorials', 'Architecture', 'Places'}","{'Architecture', 'Places'}"
Infante Alfonso Carlos and his wife Maria das Neves of Braganza.jpg,11443064,https://upload.wikimedia.org/wikipedia/commons/5/53/Infante_Alfonso_Carlos_and_his_wife_Maria_das_Neves_of_Braganza.jpg,3909MD9T2Z2SV246WI3YM1KFRTREFG,A1AMGHYG5PT0L2,A1P3R8TYQAKHR8,A2PIFMM4Q2I9ZS,"{'Medicine & Health', 'History', 'Chemistry', 'People'}",{'People'},{'History'},"{'Culture', 'Chemistry', 'Society', 'STEM', 'History', 'Medicine & Health', 'People'}","{'Society', 'People'}","{'History', 'Culture'}","{'People', 'History', 'Culture', 'Society'}"
Glannes-51 Mairie.JPG,27096407,https://upload.wikimedia.org/wikipedia/commons/a/a0/Glannes-51_Mairie.JPG,3DZKABX2ZIQ2U16I0627EZNYUB2CV9,A1400B4SP1PFKC,A2KW26KE43UBRS,A9HQ3E0F2AGVO,"{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}","{'Architecture', 'Places'}"
Término municipal de Calvarrasa de Arriba.svg,14867435,https://upload.wikimedia.org/wikipedia/commons/f/f3/T%C3%A9rmino_municipal_de_Calvarrasa_de_Arriba.svg,3DZKABX2ZIQ2U16I0627EZNYUB2CV9,A1400B4SP1PFKC,A2KW26KE43UBRS,A9HQ3E0F2AGVO,{'Maps & Flags'},{'Maps & Flags'},{'Maps & Flags'},"{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}","{'Maps & Flags', 'Places'}"
Tyler Honeycutt UCLA cropped.jpg,18167440,https://upload.wikimedia.org/wikipedia/commons/2/23/Tyler_Honeycutt_UCLA_cropped.jpg,3DZKABX2ZIQ2U16I0627EZNYUB2CV9,A1400B4SP1PFKC,A2KW26KE43UBRS,A9HQ3E0F2AGVO,"{'Sports', 'People'}","{'Events', 'Sports', 'People'}",{'Sports'},"{'Society', 'Sports', 'People'}","{'People', 'Events', 'Sports', 'Society'}","{'Sports', 'Society'}","{'People', 'Sports', 'Society'}"
